Timestamp,CPU_Percent,Memory_Value,Memory_Unit,API_Phase
2025-04-03T16:23:16.485Z,10.34,919.10,MiB,DURING
2025-04-03T16:23:17.486Z,57.65,983.60,MiB,DURING
2025-04-03T16:23:18.487Z,38.01,838.90,MiB,DURING
2025-04-03T16:23:19.488Z,14.94,870.60,MiB,DURING
2025-04-03T16:23:20.488Z,55.28,871.70,MiB,DURING
2025-04-03T16:23:21.489Z,4.18,883.60,MiB,DURING
2025-04-03T16:23:22.490Z,15.59,924.70,MiB,DURING
2025-04-03T16:23:23.490Z,39.53,875.60,MiB,DURING
2025-04-03T16:23:24.491Z,13.95,891.40,MiB,DURING
2025-04-03T16:23:25.492Z,66.82,885.00,MiB,DURING
2025-04-03T16:23:26.493Z,8.75,883.10,MiB,DURING
2025-04-03T16:23:27.494Z,9.90,906.10,MiB,DURING
2025-04-03T16:23:28.495Z,87.78,876.80,MiB,DURING
2025-04-03T16:23:29.496Z,12.08,852.80,MiB,DURING
2025-04-03T16:23:30.497Z,4.00,848.30,MiB,DURING
2025-04-03T16:23:31.498Z,6.52,871.10,MiB,DURING
2025-04-03T16:23:32.499Z,42.80,863.90,MiB,DURING
2025-04-03T16:23:33.500Z,12.45,887.20,MiB,DURING
2025-04-03T16:23:34.501Z,35.50,868.70,MiB,DURING
2025-04-03T16:23:35.501Z,17.78,915.10,MiB,DURING
2025-04-03T16:23:36.502Z,64.77,878.80,MiB,DURING
2025-04-03T16:23:37.503Z,5.84,881.50,MiB,DURING
2025-04-03T16:23:38.504Z,43.31,892.60,MiB,DURING
2025-04-03T16:23:39.505Z,1.93,893.90,MiB,DURING
2025-04-03T16:23:40.505Z,0.52,892.80,MiB,DURING
2025-04-03T16:23:41.506Z,9.80,930.10,MiB,DURING
2025-04-03T16:23:42.506Z,29.24,887.90,MiB,DURING
2025-04-03T16:23:43.507Z,10.86,915.50,MiB,DURING
2025-04-03T16:23:44.508Z,37.96,850.30,MiB,DURING
2025-04-03T16:23:45.510Z,22.05,877.50,MiB,DURING
2025-04-03T16:23:46.511Z,40.20,849.50,MiB,DURING
2025-04-03T16:23:47.511Z,12.69,865.80,MiB,DURING
2025-04-03T16:23:48.512Z,66.56,912.30,MiB,DURING
2025-04-03T16:23:49.513Z,81.55,816.20,MiB,DURING
2025-04-03T16:23:50.514Z,4.96,819.50,MiB,DURING
2025-04-03T16:23:51.515Z,25.78,876.60,MiB,DURING
2025-04-03T16:23:52.515Z,16.73,818.70,MiB,DURING
2025-04-03T16:23:53.517Z,24.43,868.70,MiB,DURING
2025-04-03T16:23:54.518Z,67.18,855.30,MiB,DURING
2025-04-03T16:23:55.519Z,2.15,855.90,MiB,DURING
2025-04-03T16:23:56.520Z,12.89,901.50,MiB,DURING
2025-04-03T16:23:57.521Z,22.10,851.40,MiB,DURING
2025-04-03T16:23:58.521Z,15.70,896.00,MiB,DURING
2025-04-03T16:23:59.521Z,32.04,831.20,MiB,DURING
2025-04-03T16:24:00.522Z,17.78,868.90,MiB,DURING
2025-04-03T16:24:01.523Z,20.65,839.20,MiB,DURING
2025-04-03T16:24:02.524Z,19.32,879.90,MiB,DURING
2025-04-03T16:24:03.525Z,38.24,852.20,MiB,DURING
2025-04-03T16:24:04.526Z,2.85,852.20,MiB,DURING
2025-04-03T16:24:05.526Z,16.67,898.40,MiB,DURING
2025-04-03T16:24:06.527Z,32.00,830.70,MiB,DURING
2025-04-03T16:24:07.529Z,20.88,863.20,MiB,DURING
2025-04-03T16:24:08.530Z,34.07,845.60,MiB,DURING
2025-04-03T16:24:09.531Z,16.91,899.90,MiB,DURING
2025-04-03T16:24:10.532Z,20.33,854.20,MiB,DURING
2025-04-03T16:24:11.533Z,17.61,910.10,MiB,DURING
2025-04-03T16:24:12.534Z,19.74,852.10,MiB,DURING
2025-04-03T16:24:13.535Z,19.02,908.20,MiB,DURING
2025-04-03T16:24:14.536Z,27.06,835.50,MiB,DURING
2025-04-03T16:24:15.537Z,19.66,889.30,MiB,DURING
2025-04-03T16:24:16.538Z,16.58,844.10,MiB,DURING
2025-04-03T16:24:17.539Z,19.90,895.40,MiB,DURING
2025-04-03T16:24:18.540Z,28.25,838.50,MiB,DURING
2025-04-03T16:24:19.540Z,22.82,882.60,MiB,DURING
2025-04-03T16:24:20.541Z,41.30,839.40,MiB,DURING
2025-04-03T16:24:21.542Z,21.34,893.40,MiB,DURING
2025-04-03T16:24:22.543Z,15.69,843.50,MiB,DURING
2025-04-03T16:24:23.544Z,20.92,898.30,MiB,DURING
2025-04-03T16:24:24.545Z,16.75,846.90,MiB,DURING
2025-04-03T16:24:25.546Z,21.22,900.90,MiB,DURING
2025-04-03T16:24:26.547Z,16.25,844.70,MiB,DURING
2025-04-03T16:24:27.547Z,22.52,902.50,MiB,DURING
2025-04-03T16:24:28.548Z,20.11,843.20,MiB,DURING
2025-04-03T16:24:29.549Z,21.93,885.40,MiB,DURING
2025-04-03T16:24:30.550Z,28.17,851.00,MiB,DURING
2025-04-03T16:24:31.551Z,23.87,890.10,MiB,DURING
2025-04-03T16:24:32.552Z,33.91,853.40,MiB,DURING
2025-04-03T16:24:33.553Z,13.81,882.30,MiB,DURING
2025-04-03T16:24:34.553Z,28.18,849.20,MiB,DURING
2025-04-03T16:24:35.554Z,22.87,907.20,MiB,DURING
2025-04-03T16:24:36.555Z,25.49,836.00,MiB,DURING
2025-04-03T16:24:37.556Z,27.31,894.10,MiB,DURING
2025-04-03T16:24:38.557Z,16.43,846.30,MiB,DURING
2025-04-03T16:24:39.557Z,23.43,903.70,MiB,DURING
2025-04-03T16:24:40.557Z,15.19,848.20,MiB,DURING
2025-04-03T16:24:41.557Z,24.12,901.70,MiB,DURING
2025-04-03T16:24:42.558Z,15.59,844.30,MiB,DURING
2025-04-03T16:24:43.559Z,26.40,900.30,MiB,DURING
2025-04-03T16:24:44.560Z,18.89,847.20,MiB,DURING
2025-04-03T16:24:45.561Z,25.05,902.60,MiB,DURING
2025-04-03T16:24:46.562Z,15.55,855.20,MiB,DURING
2025-04-03T16:24:47.562Z,37.43,893.00,MiB,DURING
2025-04-03T16:24:48.562Z,18.42,850.00,MiB,DURING
2025-04-03T16:24:49.563Z,26.06,904.40,MiB,DURING
2025-04-03T16:24:50.564Z,16.39,844.70,MiB,DURING
2025-04-03T16:24:51.564Z,26.80,903.10,MiB,DURING
2025-04-03T16:24:52.565Z,19.93,848.40,MiB,DURING
2025-04-03T16:24:53.566Z,28.04,902.50,MiB,DURING
2025-04-03T16:24:54.566Z,20.61,843.50,MiB,DURING
2025-04-03T16:24:55.566Z,27.05,900.10,MiB,DURING
2025-04-03T16:24:56.567Z,10.12,857.80,MiB,DURING
2025-04-03T16:24:57.568Z,40.63,893.50,MiB,DURING
2025-04-03T16:24:58.569Z,13.83,846.50,MiB,DURING
2025-04-03T16:24:59.569Z,29.44,902.60,MiB,DURING
2025-04-03T16:25:00.570Z,9.61,846.80,MiB,DURING
2025-04-03T16:25:01.571Z,27.64,902.30,MiB,DURING
2025-04-03T16:25:02.572Z,7.98,840.80,MiB,DURING
2025-04-03T16:25:03.573Z,27.88,897.50,MiB,DURING
2025-04-03T16:25:04.573Z,9.55,854.70,MiB,DURING
2025-04-03T16:25:05.574Z,44.40,907.40,MiB,DURING
2025-04-03T16:25:06.575Z,43.93,944.40,MiB,DURING
2025-04-03T16:25:07.575Z,144.77,1.04,GiB,DURING
2025-04-03T16:25:08.576Z,118.77,1024.00,MiB,DURING
2025-04-03T16:25:09.577Z,50.67,970.30,MiB,DURING
2025-04-03T16:25:10.577Z,5.03,969.80,MiB,DURING
2025-04-03T16:25:11.577Z,18.28,1.00,GiB,DURING
2025-04-03T16:25:12.578Z,22.93,974.00,MiB,DURING
2025-04-03T16:25:13.579Z,124.14,1.08,GiB,DURING
2025-04-03T16:25:14.579Z,102.49,1.11,GiB,DURING,js
2025-04-03T16:25:15.580Z,136.39,1.13,GiB,DURING
2025-04-03T16:25:16.581Z,117.87,1.16,GiB,DURING
2025-04-03T16:25:17.582Z,101.04,1.16,GiB,DURING
2025-04-03T16:25:18.583Z,114.03,1.20,GiB,DURING
2025-04-03T16:25:19.584Z,139.79,1.27,GiB,DURING
2025-04-03T16:25:20.584Z,148.06,1.31,GiB,DURING
2025-04-03T16:25:21.585Z,149.92,1.38,GiB,DURING
2025-04-03T16:25:22.587Z,100.93,1.39,GiB,DURING
2025-04-03T16:25:23.587Z,123.61,1.28,GiB,DURING
2025-04-03T16:25:24.588Z,167.88,678.70,MiB,FINISHED_OK
2025-04-03T16:25:25.589Z,0.02,678.20,MiB,FINISHED_OK
2025-04-03T16:25:26.497Z,0.02,678.20,MiB,FINISHED_OK
2025-04-03T16:25:26.589Z,0.01,678.20,MiB,FINISHED_OK
2025-04-03T16:25:27.590Z,0.00,678.20,MiB,FINISHED_OK
2025-04-03T16:25:33.057Z,0.00,678.10,MiB,FINISHED_OK
2025-04-03T16:25:38.061Z,0.00,677.70,MiB,FINISHED_OK
2025-04-03T16:25:43.064Z,0.00,677.20,MiB,FINISHED_OK
2025-04-03T16:25:48.067Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:25:53.072Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:25:58.075Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:03.078Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:08.082Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:13.086Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:18.089Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:23.094Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:28.095Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:33.099Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:38.103Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:43.107Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:48.111Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:53.115Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:26:58.118Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:27:03.122Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:27:08.125Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:27:13.129Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:27:18.133Z,0.00,325.30,MiB,FINISHED_OK
2025-04-03T16:27:23.137Z,0.00,325.30,MiB,FINISHED_OK
